id	text	origine
0	We will look at the entire cycle of the investment process relating to all aspects of, formulating an investment hypothesis, constructing a portfolio based on that, executing the trades to implement it, on-going risk management, periodically measuring the performance of the portfolio, and rebalancing the portfolio either due to an increase in the risk parameters or due to a deviation from the intended asset allocation. We provide several illustrative analogies that are meant to intuitively explain the pleasures and the pitfalls that can arise while managing a portfolio. If we consider the entire investment management procedure as being akin to connecting the dots of a circle, then the Circle of Investment can be represented as a dotted circle with many dots falling approximately on the circumference and with no clue about the exact location of the centre or the length of the radius. We represent the investment process as a dotted circle since there is a lot of ambiguity in the various steps involved. The circle also indicates the repetitive nature of many steps that are continuously carried out while investing. This work introduces two new points pertaining to this dotted circle and improves the ability, to understand how far-off this dotted circle is, from a more well-defined circle and, to create a well-formed circle. The two innovations we introduce are:   1. The first, relating to the limitations that apply to any finding in the social sciences, would be the additional point we introduce that lies near the centre of the circle. We title this as, 'The Uncertainty Principle of the Social Sciences'.   2. The second, relating to establishing confidence levels in a systematic manner for each view we associate with a security or group of securities as required by the Black-Litterman framework, would be the new point we present near the circumference of the circle.	Arxiv
1	We determine the optimal investment strategy in a Black-Scholes financial market to minimize the so-called {\it probability of drawdown}, namely, the probability that the value of an investment portfolio reaches some fixed proportion of its maximum value to date. We assume that the portfolio is subject to a payout that is a deterministic function of its value, as might be the case for an endowment fund paying at a specified rate, for example, at a constant rate or at a rate that is proportional to the fund's value.	Arxiv
2	We find the optimal investment strategy to minimize the expected time that an individual's wealth stays below zero, the so-called {\it occupation time}. The individual consumes at a constant rate and invests in a Black-Scholes financial market consisting of one riskless and one risky asset, with the risky asset's price process following a geometric Brownian motion. We also consider an extension of this problem by penalizing the occupation time for the degree to which wealth is negative.	Arxiv
3	The artificial segmentation of an investment management process into a workflow with silos of offline human operators can restrict silos from collectively and adaptively pursuing a unified optimal investment goal. To meet the investor's objectives, an online algorithm can provide an explicit incremental approach that makes sequential updates as data arrives at the process level. This is in stark contrast to offline (or batch) processes that are focused on making component level decisions prior to process level integration. Here we present and report results for an integrated, and online framework for algorithmic portfolio management. This article provides a workflow that can in-turn be embedded into a process level learning framework. The workflow can be enhanced to refine signal generation and asset-class evolution and definitions. Our results confirm that we can use our framework in conjunction with resampling methods to outperform naive market capitalisation benchmarks while making clear the extent of back-test over-fitting. We consider such an online update framework to be a crucial step towards developing intelligent portfolio selection algorithms that integrate financial theory, investor views, and data analysis with process-level learning.	Arxiv
4	Does AI conform to humans, or will we conform to AI? An ethical evaluation of AI-intensive companies will allow investors to knowledgeably participate in the decision. The evaluation is built from nine performance indicators that can be analyzed and scored to reflect a technology's human-centering. The result is objective investment guidance, as well as investors empowered to act in accordance with their own values. Incorporating ethics into financial decisions is a strategy that will be recognized by participants in environmental, social, and governance investing, however, this paper argues that conventional ESG frameworks are inadequate to companies that function with AI at their core. Fully accounting for contemporary big data, predictive analytics, and machine learning requires specialized metrics customized from established AI ethics principles. With these metrics established, the larger goal is a model for humanist investing in AI-intensive companies that is intellectually robust, manageable for analysts, useful for portfolio managers, and credible for investors.	Arxiv
5	We determine the optimal strategy for investing in a Black-Scholes market in order to maximize the probability that wealth at death meets a bequest goal $b$, a type of goal-seeking problem, as pioneered by Dubins and Savage (1965, 1976). The individual consumes at a constant rate $c$, so the level of wealth required for risklessly meeting consumption equals $c/r$, in which $r$ is the rate of return of the riskless asset.   Our problem is related to, but different from, the goal-reaching problems of Browne (1997). First, Browne (1997, Section 3.1) maximizes the probability that wealth reaches $b < c/r$ before it reaches $a < b$. Browne's game ends when wealth reaches $b$. By contrast, for the problem we consider, the game continues until the individual dies or until wealth reaches 0; reaching $b$ and then falling below it before death does not count.   Second, Browne (1997, Section 4.2) maximizes the expected discounted reward of reaching $b > c/r$ before wealth reaches $c/r$. If one interprets his discount rate as a hazard rate, then our two problems are {\it mathematically} equivalent for the special case for which $b > c/r$, with ruin level $c/r$. However, we obtain different results because we set the ruin level at 0, thereby allowing the game to continue when wealth falls below $c/r$.	Arxiv
6	We propose a framework for constructing factor models for alpha streams. Our motivation is threefold. 1) When the number of alphas is large, the sample covariance matrix is singular. 2) Its out-of-sample stability is challenging. 3) Optimization of investment allocation into alpha streams can be tractable for a factor model alpha covariance matrix. We discuss various risk factors for alphas such as: style risk factors; cluster risk factors based on alpha taxonomy; principal components; and also using the underlying tradables (stocks) as alpha risk factors, for which computing the factor loadings and factor covariance matrices does not involve any correlations with alphas, and their number is much larger than that of the relevant principal components. We draw insight from stock factor models, but also point out substantial differences.	Arxiv
7	In these notes we discuss investment allocation to multiple alpha streams traded on the same execution platform, including when trades are crossed internally resulting in turnover reduction. We discuss approaches to alpha weight optimization where one maximizes P&L subject to bounds on volatility (or Sharpe ratio). The presence of negative alpha weights, which are allowed when alpha streams are traded on the same execution platform, complicates the optimization problem. By using factor model approach to alpha covariance matrix, the original optimization problem can be viewed as a 1-dimensional root searching problem plus an optimization problem that requires a finite number of iterations. We discuss this approach without costs and with linear costs, and also with nonlinear costs in a certain approximation, which makes the allocation problem tractable without forgoing nonlinear portfolio capacity bound effects.	Arxiv
8	"We give a complete algorithm and source code for constructing general multifactor risk models (for equities) via any combination of style factors, principal components (betas) and/or industry factors. For short horizons we employ the Russian-doll risk model construction to obtain a nonsingular factor covariance matrix. This generalizes the heterotic risk model construction to include arbitrary non-industry risk factors as well as industry risk factors with generic ""weights"". The aim of sharing our proprietary know-how with the investment community is to encourage organic risk model building. The presentation is intended to be essentially self-contained and pedagogical. So, stop wasting money and complaining, start building risk models and enjoy!"	Arxiv
9	With the growing use of voice-activated systems and speech recognition technologies, the danger of backdoor attacks on audio data has grown significantly. This research looks at a specific type of attack, known as a Stochastic investment-based backdoor attack (MarketBack), in which adversaries strategically manipulate the stylistic properties of audio to fool speech recognition systems. The security and integrity of machine learning models are seriously threatened by backdoor attacks, in order to maintain the reliability of audio applications and systems, the identification of such attacks becomes crucial in the context of audio data. Experimental results demonstrated that MarketBack is feasible to achieve an average attack success rate close to 100% in seven victim models when poisoning less than 1% of the training data.	Arxiv
